Motorcycle,Color,Year,Mileage,Price,MotorcycleStrip
SCOOPY-I,Other,2556.0,26.0,26000.0,SCOOPY-I
CLICK125I,green,2561.0,2592.655274888559,36500.0,CLICK125I
FINO,Other,2555.0,2592.655274888559,19000.0,FINO
SPACY-I,white,2556.0,2592.655274888559,20500.0,SPACY-I
PCX150,red,2556.0,2592.655274888559,39000.0,PCX150
PCX150,gray,2557.0,52.0,52000.0,PCX150
PCX150,black,2561.0,2592.655274888559,69000.0,NEW PCX150
GRAND FILANO,white,2562.0,2592.655274888559,45000.0,GRAND FILANO HYBRID
SCOOPY-I,red,2560.0,2592.655274888559,30000.0,SCOOPY-I
CLICK125I,Other,2560.0,2592.655274888559,30000.0,CLICK125I
PCX150,white,2561.0,2592.655274888559,74000.0,PCX150
Q-BIX,gray,2561.0,2592.655274888559,35500.0,Q-BIX
SCOOPY-I,white,2559.0,2592.655274888559,26500.0,SCOOPY-I
CLICK125I,blue,2558.0,2592.655274888559,31500.0,CLICK125I
FINO125,gray,2561.0,2592.655274888559,32000.0,FINO125
PCX150,black,2555.0,2592.655274888559,39000.0,PCX150
PCX150,black,2561.0,2592.655274888559,72000.0,PCX150
PCX150,black,2560.0,2592.655274888559,60000.0,PCX150
PCX150,black,2556.0,2592.655274888559,39000.0,PCX150
PCX150,gray,2562.0,2592.655274888559,72500.0,PCX150
PCX150,red,2561.0,2592.655274888559,69000.0,PCX150
PCX150,blue,2560.0,2592.655274888559,60000.0,PCX150
PCX150,blue,2559.0,2592.655274888559,59000.0,PCX150
PCX150,gray,2557.0,2592.655274888559,49000.0,PCX 150
N-MAX,black,2561.0,55.0,55000.0,N-MAX
FINO FI,blue,2556.0,22.0,22500.0,FINO FI
CLICK125I,red,2558.0,30.0,30500.0,CLICK125I
PCX150,red,2557.0,56.0,56500.0,PCX150
PCX150,black,2561.0,2592.655274888559,74000.0,PCX150
FILANO,gray,2556.0,25.0,25000.0,FILANO
N-MAX,gray,2561.0,56.0,56000.0,N-MAX
PCX150,red,2557.0,2592.655274888559,56500.0,PCX150
GRAND FILANO,blue,2559.0,31.0,31000.0,GRAND FILANO
ZOOMER-X,black,2562.0,2592.655274888559,39000.0,ZOOMER-X
CLICK125I,red,2560.0,2592.655274888559,34500.0,CLICK125I
PCX150,white,2561.0,75.0,75000.0,PCX150
ZOOMER-X,orange,2562.0,38.0,38000.0,ZOOMER-X
ZOOMER-X,blue,2561.0,2592.655274888559,35000.0,ZOOMER-X
ZOOMER-X,black,2560.0,2592.655274888559,35500.0,ZOOMER-X
GT125,black,2561.0,2592.655274888559,33000.0,GT125
SCOOPY-I,white,2556.0,9000.0,26000.0,SCOOPY-I
GRAND FILANO,white,2558.0,2592.655274888559,35000.0,GRAND FILANO
SPACY-I,white,2555.0,2592.655274888559,20000.0,SPACY-I
SCOOPY-I,blue,2560.0,2592.655274888559,35500.0,SCOOPY-I
FILANO,purple,2555.0,2592.655274888559,24500.0,FILANO
ZOOMER-X,black,2557.0,2592.655274888559,27500.0,ZOOMER-X
SCOOPY-I,black,2555.0,2592.655274888559,22000.0,SCOOPY-I
PCX150,gray,2557.0,2592.655274888559,52000.0,PCX150
PCX150,Other,2560.0,9500.0,65000.0,PCX150
