id,CarName,YEAR,COLOR,mileage,price,list_name
4452,PCX160  ABS ,2564,สีแดงเท่ๆ,,91900.0,category-มอเตอร์ไซค์ AUTO
4403,Q-BIX125 ,2564,สีแดงสวยๆ,965,46500.0,category-มอเตอร์ไซค์ AUTO
4448,SCOOPY-I ,2559,สีดำแดงเท่ๆ,,28500.0,category-มอเตอร์ไซค์ AUTO
4457,ZOOMER-X ,2563,สีดำเท่ๆ,,36900.0,category-มอเตอร์ไซค์ AUTO
4378,CLICK125i ,2561,สีขาวสวยๆ,,32900.0,category-มอเตอร์ไซค์ AUTO
4405,Q-BIX125 ,2564,สีดำเขียวสวยๆ,1518,42500.0,category-มอเตอร์ไซค์ AUTO
4454,PCX160ABS ,2564,สีแดงสวยๆ,,91900.0,category-มอเตอร์ไซค์ AUTO
4455,CLICK125I ,2558,สีดำชมพูสวยๆ,,24900.0,category-มอเตอร์ไซค์ AUTO
4451,N-MAX155 ,2564,สีแดงเท่ๆ,3651,79900.0,category-มอเตอร์ไซค์ AUTO
4449,PCX160 ,2564,สีแดงเท่ๆ,9563,89900.0,category-มอเตอร์ไซค์ AUTO
4446,PCX160 ,2564,สีแดงสวยๆ,8567,89900.0,category-มอเตอร์ไซค์ AUTO
4417,FINO110I ,2552,สีเขียวเท่ๆ,,17500.0,category-มอเตอร์ไซค์ AUTO
4255,CLICK125I ,2558,สีดำแดงสวยๆ,,27500.0,category-มอเตอร์ไซค์ AUTO
4426,SCOOPY-I ,2564,สีดำสวยๆ,2931,45900.0,category-มอเตอร์ไซค์ AUTO
4423,SCOOPY-I ,2564,สีน้ำเงินเท่ๆ,3259,45900.0,category-มอเตอร์ไซค์ AUTO
4422,SCOOPY-I ,2564,สีขาวสวยๆ,7738,47900.0,category-มอเตอร์ไซค์ AUTO
4410,SCOOPY-I ,2564,สีดำเท่ๆ,,45900.0,category-มอเตอร์ไซค์ AUTO
4402,FINO125I ,2563,สีแดงเท่ๆ,,32900.0,category-มอเตอร์ไซค์ AUTO
4408,ZOOMER-X ,2564,สีเหลืองสวยๆ,8601,42900.0,category-มอเตอร์ไซค์ AUTO
4428,SCOOPY-I ,2561,สีน้ำเงินเท่ๆ,,34900.0,category-มอเตอร์ไซค์ AUTO
4392,FINO115 ,2556,สีเหลืองสวยๆ,,24500.0,category-มอเตอร์ไซค์ AUTO
4397,ZOOMER-X ,2557,สีดำเท่ๆ,,23500.0,category-มอเตอร์ไซค์ AUTO
4429,FINO125I ,2559,สีฟ้าเทาเท่ๆ,,28900.0,category-มอเตอร์ไซค์ AUTO
4396,CLICK125i ,2556,สีขาวสวยๆ,,23500.0,category-มอเตอร์ไซค์ AUTO
4296,AEROX155 ,2564,สีน้ำเงินเท่ๆ,3245,52900.0,category-มอเตอร์ไซค์ AUTO
4350,GRAND FILANO HYBRID ,2562,สีเหลืองเท่ๆ,,48500.0,category-มอเตอร์ไซค์ AUTO
4476,GT125 ,2563,สีน้ำเงินสวยๆ,,33900.0,category-มอเตอร์ไซค์ AUTO
4386,SCOOPY-I ,2557,สีดำเท่ๆ,,25500.0,category-มอเตอร์ไซค์ AUTO
4421,FINO115 ,2554,สีแดงเท่ๆ,,17900.0,category-มอเตอร์ไซค์ AUTO
4385,SCOOPY-I ,2557,สีชมพูสวยๆ,,25500.0,category-มอเตอร์ไซค์ AUTO
4391,MIO125 ,2554,สีขาวชมพูสวยๆ,,17500.0,category-มอเตอร์ไซค์ AUTO
4384,CLICK125i ,2555,สีชมพูสวยๆ,,20500.0,category-มอเตอร์ไซค์ AUTO
4389,TTX110 ,2555,สีดำเท่ๆ,,17500.0,category-มอเตอร์ไซค์ AUTO
4395,ZOOMER-X ,2558,สีขาวสวยๆ,,25500.0,category-มอเตอร์ไซค์ AUTO
4394,FINO125I ,2563,สีเขียวสวยๆ,6010,34900.0,category-มอเตอร์ไซค์ AUTO
4375,Q-BIX ,2563,สีฟ้าสวยๆ,,33900.0,category-มอเตอร์ไซค์ AUTO
4361,CLICK125I ,2564,สีแดงสวยๆ,5798,41500.0,category-มอเตอร์ไซค์ AUTO
4351,ZOOMER-X ,2557,สีส้มสวยๆ,,24500.0,category-มอเตอร์ไซค์ AUTO
4352,N-MAX ,2562,สีขาวสวยๆ,,54900.0,category-มอเตอร์ไซค์ AUTO
4401,GT125 ,2559,สีเทาเท่ๆ,,26900.0,category-มอเตอร์ไซค์ AUTO
4381,CLICK110i ,2554,สีฟ้าสวยๆ,,16900.0,category-มอเตอร์ไซค์ AUTO
4335,NMAX155 ,2562,สีน้ำเงิน,,49900.0,category-มอเตอร์ไซค์ AUTO
4298,ZOOMER-X ,2564,สีดำเท่ๆ,,41900.0,category-มอเตอร์ไซค์ AUTO
4265,CLICK125I ,2557,สีน้ำเงินดำเท่ๆ,,21500.0,category-มอเตอร์ไซค์ AUTO
4271,PCX150 ,2561,สีเทาดำเท่ๆ,,64500.0,category-มอเตอร์ไซค์ AUTO
4276,SCOOPY-I ,2563,สีดำชมพู,,41500.0,category-มอเตอร์ไซค์ AUTO
4313,PCX150 ,2560,สีดำส้มสวยๆ,,57900.0,category-มอเตอร์ไซค์ AUTO
4338,FINO125I ,2564,สีขาวสวยๆ,,35500.0,category-มอเตอร์ไซค์ AUTO
4323,GPX DRONE 150 ,2564,สีแดงแจ่มๆ,4296,48900.0,category-มอเตอร์ไซค์ AUTO
4108,Q-BIX ABS ,2563,สีแดงแจ่มๆ,,44000.0,category-มอเตอร์ไซค์ AUTO
4252,SCOOPY-I S12 ,2562,สีน้ำเงินสวยๆ,,38500.0,category-มอเตอร์ไซค์ AUTO
4333,CLICK125i ,2562,สีดำ,,37900.0,category-มอเตอร์ไซค์ AUTO
4249,SCOOPY-I ,2563,สีชมพูดำสวยๆ,,38500.0,category-มอเตอร์ไซค์ AUTO
4337,GRAND FILANO HYBRID ABS ,2562,สีน้ำเงินเท่ๆ,,49900.0,category-มอเตอร์ไซค์ AUTO
4372,SCOOPY-I ,2554,สีดำชมพูเท่ๆ,,19500.0,category-มอเตอร์ไซค์ AUTO
4316,SCOOPY-I S12 ,2562,สีน้ำเงินสวยๆ,,35900.0,category-มอเตอร์ไซค์ AUTO
4371,PCX150 ,2556,สีดำแดงเท่ๆ,,40500.0,category-มอเตอร์ไซค์ AUTO
4358,ZOOMER-X ,2559,สีแดงสวยๆ,,31900.0,category-มอเตอร์ไซค์ AUTO
4362,FINO125 ,2560,สีน้ำเงินสวยๆ,,26900.0,category-มอเตอร์ไซค์ AUTO
